ip,port,type,country,anonymity,source,last_checked,response_time_ms
77.247.178.20,3129,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
78.9.234.55,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
180.211.93.105,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
177.93.48.139,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
38.49.210.79,40000,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
190.89.4.185,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
45.43.64.6,6264,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
72.221.172.203,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
193.233.218.213,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
130.61.203.78,443,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
199.102.104.70,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
31.57.78.102,5486,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.111.136.82,8199,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
168.235.80.215,3128,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
220.128.223.136,8085,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
171.249.163.170,1452,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
176.74.197.163,36918,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
129.226.127.245,18080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
107.173.93.239,6193,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.94.52.70,3128,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.118.85.75,6321,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.146.185.5,1083,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
77.85.168.253,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
47.251.87.199,85,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.216.106.141,6218,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
45.135.139.218,6521,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
43.164.136.189,1080,socks5,KR,elite,github-raw,2026-08-01T03:31:24.305Z,
107.181.148.181,6041,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
8.215.112.214,7777,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
41.220.16.214,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
198.0.198.132,54321,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
144.24.15.246,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
45.76.223.103,1080,socks5,JP,elite,github-raw,2026-08-01T03:31:24.305Z,
80.72.180.122,1080,socks5,KG,elite,github-raw,2026-08-01T03:31:24.305Z,
138.124.10.104,443,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.180.118.99,8044,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
104.239.80.206,5784,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
201.77.110.129,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
192.111.135.17,18302,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
68.183.90.210,59166,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
119.148.7.10,22122,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
145.239.95.118,10084,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
72.210.252.134,46164,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.142.255.33,69,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
47.91.104.88,3128,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.180.126.236,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
182.93.75.254,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
202.165.92.206,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
154.113.170.1,5678,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
167.233.103.49,9082,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
212.126.5.248,42344,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
31.59.33.5,6581,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
198.8.94.174,39078,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
5.255.103.55,1080,socks5,NL,elite,github-raw,2026-08-01T03:31:24.305Z,
45.32.119.194,9000,socks5,SG,elite,github-raw,2026-08-01T03:31:24.305Z,
77.110.103.146,1080,socks5,NL,elite,github-raw,2026-08-01T03:31:24.305Z,
43.230.192.242,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
45.43.81.157,5804,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
104.200.152.30,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
188.40.158.211,1088,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
122.15.255.229,60606,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
67.201.59.70,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
47.82.80.127,1011,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
208.102.51.6,58208,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
